o,p,s
http://www.phenome-fppn.fr/diaphen/2018/o18000010,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000010,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000010,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg216
http://www.phenome-fppn.fr/diaphen/2018/o18000010,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,10/DZ_PG_48/ZM4421/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000010,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000010,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000011,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000011,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000011,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg136
http://www.phenome-fppn.fr/diaphen/2018/o18000011,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000011,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000011,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000012,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000012,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000012,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg073
http://www.phenome-fppn.fr/diaphen/2018/o18000012,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000012,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000012,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000013,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000013,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000013,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg131
http://www.phenome-fppn.fr/diaphen/2018/o18000013,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,13/DZ_PG_24/ZM4342/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000013,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000013,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000014,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
