o,p,s
http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.w3.org/2000/01/rdf-schema#range,http://www.phenome-fppn.fr/vocabulary/2017#Variety
http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.w3.org/2000/01/rdf-schema#domain,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,http://www.w3.org/2000/01/rdf-schema#domain,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#topDataProperty
http://www.w3.org/2002/07/owl#topDataProperty,http://www.w3.org/2000/01/rdf-schema#domain,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/vocabulary/2017#hasDocument,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasDocument,http://www.w3.org/2000/01/rdf-schema#label,document
http://www.phenome-fppn.fr/vocabulary/2017#hasDocument,http://www.w3.org/2000/01/rdf-schema#label,document
http://www.phenome-fppn.fr/vocabulary/2017#hasDocument,http://www.w3.org/2000/01/rdf-schema#range,http://www.phenome-fppn.fr/vocabulary/2017#Document
http://www.phenome-fppn.fr/vocabulary/2017#hasDocument,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2002/07/owl#Thing
http://www.phenome-fppn.fr/vocabulary/2017#hasExperiment,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasExperiment,http://www.w3.org/2000/01/rdf-schema#range,http://www.phenome-fppn.fr/vocabulary/2017#Experiment
http://www.phenome-fppn.fr/vocabulary/2017#hasExperiment,http://www.w3.org/2000/01/rdf-schema#domain,http://www.phenome-fppn.fr/vocabulary/2017#Platform
http://www.phenome-fppn.fr/vocabulary/2017#hasExperiment,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#topObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasMethod,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasMethod,http://www.w3.org/2000/01/rdf-schema#range,http://www.phenome-fppn.fr/vocabulary/2017#Method
http://www.phenome-fppn.fr/vocabulary/2017#hasMethod,http://www.w3.org/2000/01/rdf-schema#domain,http://www.phenome-fppn.fr/vocabulary/2017#Variable
http://www.phenome-fppn.fr/vocabulary/2017#hasPlot,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
